flat_idx	TianS1_key	TianS1_label	TianS2_key	TianS2_label	TianS3_key	TianS3_label	TianS4_key	TianS4_label
509191	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
509192	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509193	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509194	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509195	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509196	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509287	13	NAc-lh	25	NAc-shell-lh	47	NAc-shell-lh	51	NAc-shell-lh
509288	13	NAc-lh	26	NAc-core-lh	48	NAc-core-lh	52	NAc-core-lh
509289	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509290	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509291	16	CAU-lh	31	aCAU-lh	40	CAU-VA-lh	44	CAU-VA-lh
509292	16	CAU-lh	31	aCAU-lh	41	CAU-DA-lh	45	CAU-DA-lh
518119	12	aTHA-lh	24	THA-DA-lh	34	THA-DAm-lh	38	THA-DAm-lh
518120	12	aTHA-lh	24	THA-DA-lh	34	THA-DAm-lh	38	THA-DAm-lh
518215	11	pTHA-lh	22	THA-VP-lh	30	THA-VPm-lh	35	THA-VPm-lh
518216	12	aTHA-lh	24	THA-DA-lh	34	THA-DAm-lh	38	THA-DAm-lh
518217	12	aTHA-lh	24	THA-DA-lh	34	THA-DAm-lh	38	THA-DAm-lh
